NHP,Vaccine Group,Survival,Time of death,Clinical Score max,max Viremia PFU (log10),max Viremia RT-PCR,Body temperture max,Body temperture min,Body temperture d0 P.I,Body temperture d3 P.I,Body temperture d6 P.I,Body temperture d9 P.I,Body temperture d12 P.I,Body temperture d15 P.I,Body temperture d22 P.I,Body temperture d28 P.I,Weight min (%),Weight max (%),Weight d0 (%),Weight d3 (%),Weight d6 (%),Weight d9 (%),Weight d12 (%),Weight d15 (%),Weight d22 (%),Weight d28 (%),Liver AST min,Liver AST max,Liver AST d0 P.I,Liver AST d3 P.I,Liver AST d6 P.I,Liver AST d9 P.I,Liver AST d12 P.I,Liver AST d15 P.I,Liver AST d22 P.I,Liver AST d28 P.I,Liver ALT min,Liver ALT max,Liver ALT d0 P.I,Liver ALT d3 P.I,Liver ALT d6 P.I,Liver ALT d9 P.I,Liver ALT d12 P.I,Liver ALT d15 P.I,Liver ALT d22 P.I,Liver ALT d28 P.I,Liver ALB min,Liver ALB max,Liver ALB d0 P.I,Liver ALB d3 P.I,Liver ALB d6 P.I,Liver ALB d9 P.I,Liver ALB d12 P.I,Liver ALB d15 P.I,Liver ALB d22 P.I,Liver ALB d28 P.I,Liver ALP min,Liver ALP max,Liver ALP d0 P.I,Liver ALP d3 P.I,Liver ALP d6 P.I,Liver ALP d9 P.I,Liver ALP d12 P.I,Liver ALP d15 P.I,Liver ALP d22 P.I,Liver ALP d28 P.I,Kidney Creatinine min,Kidney Creatinine max,Kidney Creatinine d0 P.I,Kidney Creatinine d3 P.I,Kidney Creatinine d6 P.I,Kidney Creatinine d9 P.I,Kidney Creatinine d12 P.I,Kidney Creatinine  d15 P.I,Kidney Creatinine  d22 P.I,Kidney Creatinine  d28 P.I,Kidney BUN min,Kidney BUN max,Kidney BUN d0 P.I,Kidney BUN d3 P.I,Kidney BUN d6 P.I,Kidney BUN d9 P.I,Kidney BUN d12 P.I,Kidney BUN  d15 P.I,Kidney BUN  d22 P.I,Kidney BUN  d28 P.I,Serum IgA d26,Serum IgA d54,Serum IgG d26,Serum IgG d54,Serum Neut titer d24,Serum Neut titer d56,Mucosal IgA d21,Mucosal IgA d49,Mucosal IgG d21,Mucosal IgG d49,IgA isotype proportion d26,IgA isotype proportion d54,IgG isotype proportion d26,IgG isotype proportion d54,IgM isotype proportion d26,IgM isotype proportion d54,IgA dimer isotype proportion d26,IgA dimer isotype proportion d54,GP binding BLI d26,GP binding BLI d54,GPmuc binding BLI d26,GPmuc binding BLI d54,sGP binding BLI d26,sGP binding BLI d54,GPcl binding BLI d26,GPcl binding BLI d54,Mab Comp RBD 520 d26,Mab Comp RBD 520 d54,Mab Comp GC BDBV289 d26,Mab Comp GC BDBV289 d54,Mab Comp Trimer KZ52 d26,Mab Comp Trimer KZ52 d54,Mab Comp MLD EBOV55 d26,Mab Comp MLD EBOV55 d54,Mab Comp MPER 223 d26,Mab Comp MPER 223 d54,Mab Comp MPER 317 d26,Mab Comp MPER 317 d54,Restoration of infectivity Gpmuc 2ug ,Restoration of infectivity Gpmuc 0.4ug ,Restoration of infectivity Gpmuc 0.08ug ,Restoration of infectivity Gpmuc 0.016ug ,Restoration of infectivity Gpmuc 0.0032ug ,Restoration of infectivity Gpmuc 0ug ,Restoration of infectivity sGP 2ug ,Restoration of infectivity sGP 0.4ug ,Restoration of infectivity sGP 0.08ug ,Restoration of infectivity sGP 0.016ug ,Restoration of infectivity sGP 0.0032ug ,Restoration of infectivity sGP 0ug ,Proportion binding to RBD+GC+GP2 d26 (GP immobilized),Proportion binding to RBD+GC+GP2 d54 (GP immobilized),Proportion binding to RBD+GC d26 (GP immobilized),Proportion binding to RBD+GC d54 (GP immobilized),Proportion binding to RBD+GP2 d26 (GP immobilized),Proportion binding to RBD+GP2 d54 (GP immobilized),Proportion binding to RBD+GC d26 (GPmuc immobilized),Proportion binding to RBD+GC d54 (GPmuc immobilized),Proportion binding to RBD+GC+GP2 d26 (GPmuc immobilized),Proportion binding to RBD+GC+GP2 d54 (GPmuc immobilized),Proportion binding to RBD+GP2 d26 (GPmuc immobilized),Proportion binding to RBD+GP2 d54 (GPmuc immobilized),Proportion binding to RBD+GC d26 (sGP immobilized vs GPmuc),Proportion binding to RBD+GC d54 (sGP immobilized vs GPmuc),Proportion binding to RBD+GC d26 (sGP immobilized vs GP),Proportion binding to RBD+GC d54 (sGP immobilized vs GP),Proportion binding to RBD d26 (sGP immobilized s GPcl),Proportion binding to RBD d54 (sGP immobilized vs GPcl),Proportion binding to RBD+GP2 d26 (GPcl immobilized vs GPmuc),Proportion binding to RBD+GP2 d54 (GPcl immobilized vs GPmuc),Proportion binding to RBD d26 (GPcl immobilized vs sGP),Proportion binding to RBD d54 (GPcl immobilized vs sGP),Proportion binding to RBD+GP2 d26 (GPcl immobilized vs GP),Proportion binding to RBD+GP2 d54 (GPcl immobilized vs GP),Proportion of GC antibodies d26,Proportion of GC antibodies d54,Proportion of GP2 antibodies d26,Proportion of GP2 antibodies d54,Proportion of MLD antibodies d26,Proportion of MLD antibodies d54,ADCD d26 0.004 dilution,ADCD d26 0.02 dilution,ADCD d26 0.1 dilution,ADCD d54 0.004 dilution,ADCD d54 0.02 dilution,ADCD d54 0.1 dilution,ADNP d26 0.0004 dilution,ADNP d26 0.002 dilution,ADNP d26 0.01 dilution,ADNP d54 0.0004 dilution,ADNP d54 0.002 dilution,ADNP d54 0.01 dilution,ADCP d26 0.01 dilution,ADCP d26 0.001 dilution,ADCP d26 0.0001 dilution,ADCP d54 0.01 dilution,ADCP d54 0.001 dilution,ADCP d54 0.0001 dilution,ADNKD CD107 GP d26,ADNKD CD107 GP d54,ADNKD MIP GP d26,ADNKD MIP GP d54,ADNKD IFN-g GP d26,ADNKD IFN-g GP d54,ADNKD CD107 GPdmuc d54,ADNKD MIP GPdmuc d54,ADNKD IFN-g GPdmuc d54,ADNKD CD107 sGP d54,ADNKD MIP sGP d54,ADNKD IFN-g sGP d54,ADNKD CD107 GPcl d54,ADNKD MIP GPcl d54,ADNKD IFN-g GPcl d54
11,HPIV3/?FHN/EboGP,Yes,28,0,0,6.760666667,38.33333,36.88889,38.27778,37.61111,37.77778,36.88889,37.11112,37.83333,38.33333,38.16666,96.38,100,100,99.27536,99.27536,98.55073,98.55073,97.46377,96.37682,97.10145,24,31,29,26,28,31,28,27,24,26,24,34,32,34,30,30,31,29,28,24,2.9,3.1,3,3,3,3,2.9,3,3.1,3.1,94,115,108,114,111,115,102,94,98,102,0.6,1.2,0.8,0.9,1.2,0.6,1.2,1.1,1.1,1.1,12,26,12,16,19,16,21,21,26,22,7.812614,11.69335,7.837155,11.77143,11.6248,10.90148,2.53685,5.523058,3.518337,6.341956,31.92169,55.96351,51.08735,42.51386,11.43171,0.304489,5.559248,1.218139,1.9469,4.0413,1.6955,3.8256,3.1417,3.5406,1.641,2.6141,66.56028,71.83784,68.03742,81.78,53.74804,65.91484,38.97656,50.60149,30.88339,73.00225,43.91489,50.25873,36.20654,24.16178,3.387926,4.696117,2.706727,0.036138,-0.98019,-1.05535,3.848743,2.264151,-4.07422,2.188992,37.89614,47.13582,7.216601,5.134486,5.54728,9.279192,48.78797,22.89053,73.47685,91.01317,21.4568,26.78011,57.48798,68.96854,43.23137,65.10761,10.00095,22.22787,45.79525,54.90609,4.783668,9.043265,39.73187,55.21212,47.48703,46.74067,41.01158,45.86283,62.10386,52.86418,1001,6207.5,9050.5,5397.5,8813,8346.5,33.265,142.29,325.24,157.385,280.115,238.98,56.23,56.46,49.93,36.29,61.89,64.46,11.98,18.95,24.35,30.3,2.835,9.115,6.565,16.15,2.265,6.005,17.15,1.765,5.805,17.6,1.57
12,HPIV3/?FHN/EboGP,Yes,28,0,0,0,38.33333,37.77778,38.33333,38.22223,38.22223,38,37.77778,38.27778,38.27778,38.33333,99.23,101.5,100,99.23372,99.61686,99.23372,99.61686,100.3831,99.61686,101.5326,24,33,31,28,31,27,29,24,33,26,26,31,27,29,30,26,31,26,28,28,2.6,2.9,2.8,2.9,2.8,2.8,2.8,2.8,2.8,2.6,224,287,258,255,246,235,224,227,260,287,0.5,1,0.5,0.7,0.8,0.8,0.8,1,0.9,0.8,15,18,15,15,18,17,17,17,18,17,7.492637,9.935119,6.282073,11.24474,8.663131,11.83975,2.812033,6.086566,1.386584,5.61217,42.32042,67.10217,30.42549,27.90164,19.45516,0.570392,7.798931,4.4258,1.9306,3.9726,1.8972,3.7876,2.7443,3.7774,1.8847,3.5158,82.72727,83.69004,74.92938,75.79618,62.5523,52.92089,41.25396,26.55789,56.09149,63.68048,57.25095,54.05328,10.71849,4.714186,2.616382,-0.66313,0.018069,-0.66313,-2.33578,-3.97913,-0.76628,-1.68028,-3.97913,4.708489,41.86781,41.68051,8.453331,4.367417,-0.22273,9.902834,29.06388,21.15588,71.01518,85.59246,11.90175,31.67441,50.25325,67.44057,35.99461,61.38349,1.687133,23.96357,39.61373,57.03112,4.515307,9.619432,33.62339,56.57887,48.56612,43.477,35.09842,47.41169,58.13219,58.31949,628.5,5546.5,9456.5,6029.5,9196,9489,35.42,167.405,316.895,142.555,355.905,329.16,45.27,41.64,37.17,64.02,72.26,64.85,13.265,34.9,24.6,52.15,4.445,17.185,5.545,14.55,1.7,7.955,19.9,2.41,5.745,19.25,1.155
13,HPIV1/EboGP,Yes,28,2,0,97.74466667,39.88889,35.22222,37.11112,38,39.88889,37.88889,36.94444,36.5,35.22222,37,78.65,100,100,96.62921,94.94383,92.69663,88.20225,84.26968,78.65169,80.33707,25,146,25,27,26,146,135,78,45,40,18,89,25,31,18,52,89,64,40,33,1.5,3.4,3.4,3.4,2.3,1.8,1.5,1.7,2.1,2.4,98,1188,98,99,493,853,1188,845,584,395,0.4,1,0.9,1,1,0.9,0.7,0.6,0.7,0.4,11,23,17,16,15,23,23,19,18,11,2.942766,8.271795,3.331032,8.640169,0,8.97272,1.364155,4.449202,0,5.839422,50.8799,65.03067,6.658154,26.69878,23.11677,3.405099,19.34518,4.865443,0.4515,1.7574,0.274,0.7963,0.2407,1.2917,0.1823,0.8722,6.41844,38.32432,23.78155,64.9,9.957485,44.37184,49.8422,47.16441,7.689046,14.72725,7.021277,18.6934,14.78642,11.50055,3.285871,2.738226,0,-0.54765,1.682696,11.12831,-0.96646,1.58261,3.16522,-2.39894,27.79623,28.1723,8.106312,6.179583,3.765227,2.253329,4.233577,26.89941,46.49635,76.76755,-12.4088,0,39.67595,66.59441,24.26257,55.14438,-40.5484,0,-20.4608,19.38776,-26.8239,7.567072,0.932529,20.45402,39.67595,66.59441,6.3631,11.82069,72.20377,71.8277,110.5,127.5,859.5,1353.5,6037.5,8205.5,13.8,20.695,87.405,36.85,158.765,338.805,42.16,37.31,26.79,46.64,52.03,36.97,4.35,11.76,16.15,19.5,1.205,4.895,6.385,12.2,1.72,5.985,11.56,2.055,5.23,11.75,1.695
14,HPIV1/EboGP,No,8,14,5.70757,586.1896667,39.66667,32.88889,38.83334,38.61111,39.66667,NA,NA,NA,NA,NA,97.85,100,100,99.28315,98.56632,NA,NA,NA,NA,NA,36,808,36,39,63,NA,NA,NA,NA,NA,38,327,40,49,38,NA,NA,NA,NA,NA,1,3.2,3.2,3.1,1.8,NA,NA,NA,NA,NA,62,351,62,83,341,NA,NA,NA,NA,NA,0.8,4.2,0.8,0.9,1.3,NA,NA,NA,NA,NA,10,85,10,13,25,NA,NA,NA,NA,NA,-0.860696,2.525544,-0.100805,4.331596,0,7.71234,0,2.3322,0,2.909972,47.37776,40.73908,0,51.25303,37.94968,4.605974,14.67256,3.40192,0.2542,0.6061,0.24,0.4487,0.2341,0.3442,0.2914,0.3391,6.453901,38.64865,9.051349,38.48,5.347953,29.0683,8.859333,23.2194,6.64311,11.21384,6.978723,12.90427,89.30833,48.22024,32.70545,9.54139,1.66113,-2.84554,5.283019,4.539868,1.509434,-1.53257,6.118702,1.532567,22.50197,31.85943,14.0834,4.949678,4.248623,10.52632,4.458333,9.672387,9.416667,39.6033,-12.2917,0,14.95088,36.02557,3.331909,23.35851,-57.4541,0,-11.8051,0,-11.1531,0,4.118051,9.495724,14.95088,36.02557,-0.652,0,77.49803,68.14057,111,128.5,117.5,109,1998,6302.5,14.46,18.065,118.04,19.41,60.89,285.68,30.14,28.69,27.07,40.38,58.48,25.42,2.755,9.435,11.84,17.8,0.785,3.205,4.375,15.5,1.97,8.594999,21.45,2.81,3.975,12.35,2.11
15,HPIV1/EboGP,No,6,8,6.591065,1405576.667,39.22222,38.55556,38.55556,38.66666,39.22222,NA,NA,NA,NA,NA,100,100,100,100,100,NA,NA,NA,NA,NA,30,1044,30,30,1044,NA,NA,NA,NA,NA,33,351,33,39,351,NA,NA,NA,NA,NA,2.1,3.4,3.4,3.3,2.1,NA,NA,NA,NA,NA,218,1207,222,218,1207,NA,NA,NA,NA,NA,0.8,2.9,0.8,1,2.9,NA,NA,NA,NA,NA,17,42,17,18,42,NA,NA,NA,NA,NA,0.8199362,5.501168,0.1637184,5.826763,0,6.807991,0,3.098434,0,4.269427,78.22556,40.2743,0,50.65729,15.22752,7.417272,6.546914,1.651134,0.1697,0.3536,0.1654,0.287,0.1625,0.3331,0.2257,0.31,11.02837,6,6.853786,37.74,5.168942,32.58853,7.980162,25.81631,6.04947,0,5.829787,0,82.95247,52.11627,13.00559,-4.78628,-10.9646,-10.2216,14.66701,7.279702,-8.94992,-3.04569,-7.1066,-1.20237,7.542722,21.46493,-2.12139,0,-9.31055,6.674208,3.385732,27.1777,10.94317,60.41812,-15.2358,12.26481,25.96923,15.4308,15.63077,46.08226,-80.4308,0,-16.039,16.06452,-19.8051,0,7.930882,23.41935,25.96923,15.4308,3.7661,16.06452,92.457278,78.53507,94.25,100,83.2,66.55,603.5,4943,12.31,18.7,195.06,14.55,32.65,271.495,27.58,25.04,22.4,38.04,31.8,16.93,2.695,7.37,8.36,20.6,1.095,2.345,3.485,8.639999,1.05,3.455,11.3,1.34,5.21,10.055,2.46
16,HPIV1/EboGP,Yes,28,0,0,4.681666667,38.83334,38,38.61111,38.44444,38.5,38,38.83334,38.44444,38.55556,38.83334,98.7,100.3,100,99.35065,100.3247,98.7013,99.67533,98.7013,99.35065,100.3247,23,33,31,30,20,33,23,27,21,29,16,33,23,33,27,30,30,22,16,20,2.5,3.2,3.2,3.1,2.8,2.5,2.7,2.8,3,3,186,209,194,193,194,209,186,203,201,206,0.7,1.1,1.1,1,1,0.8,0.7,1.1,1,1.1,12,15,15,14,13,13,13,12,13,14,5.46254,7.949405,3.806858,8.218417,5.043453,9.726674,0,0,0,0,70.69993,42.85299,20.22584,54.17567,3.480023,0.704178,5.594205,2.26716,0.3301,1.8593,0.2622,0.6901,0.3455,1.1774,0.2149,0.5089,29.53901,67.97297,42.55875,72.94,34.95189,66.65261,26.60054,39.77468,0,48.71219,20.21277,38.58344,29.76523,8.381759,-0.59177,-1.73724,-3.45545,-1.69919,-1.7969,-4.372,-1.71674,-6.78679,-9.28174,-3.27316,27.38564,52.95715,11.60254,7.88794,3.938201,8.570104,13.15789,37.86408,43.02059,71.52587,-15.5225,9.665266,51.11433,79.66706,43.18379,69.22881,-33.6614,0,11.91252,50.00983,-20.8934,3.124386,15.21638,49.69542,51.11433,79.66706,32.80592,46.88544,72.61436,47.04285,91.5,184.5,2442,813.5,6280,6594.5,18.81,30.43,268.495,29.345,132.815,337.43,34.95,28.78,22.44,62.77,60.63,38.67,4.955,15.14,15.8,30.1,1.86,6.625,4.09,13.6,1.205,4.96,13.1,2.055,3.33,12.95,1.3
17,HPIV3/EboGP,Yes,28,0,0,0,38.61111,36.66667,38.5,38.16666,38.61111,38.11111,37.94445,37.66667,37.44445,36.66667,90.81,100,100,99.45946,98.37838,97.2973,96.21621,95.13513,92.43243,90.81081,25,31,30,29,29,31,26,31,25,31,31,59,31,45,55,59,55,51,46,45,3,3.5,3.5,3.3,3.4,3.4,3.3,3.3,3.2,3,105,137,121,127,119,137,131,134,127,105,0.5,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.5,11,15,15,11,14,12,14,13,15,15,8.139943,8.392188,6.131962,9.687263,7.496355,11.29802,5.45084,4.725792,3.019309,5.764138,63.99707,45.01363,14.57742,50.92103,12.98047,1.487225,8.445044,2.578115,1.9896,3.4157,1.2789,3.2383,3.2481,4.2932,1.7622,2.5975,67.37762,75.03075,75.18832,70.06369,60.11158,48.31643,46.98707,33.45783,43.06831,59.35205,41.44599,49.61329,29.69247,13.78579,2.120891,2.651113,2.651113,1.060445,7.081198,4.560772,7.00734,2.372709,-0.87707,-3.21285,33.61982,63.95175,10.89164,11.49106,13.87214,8.015926,43.10736,46.21869,61.52944,85.00757,10.0477,16.87614,45.86989,70.01071,26.52936,57.70288,4.276346,5.981552,39.201,66.34841,6.786971,8.477382,30.53569,63.31088,41.59354,64.02916,32.41403,57.87103,66.38018,36.04825,569,4341.5,7814,4764,7336.5,6093,34.655,133.1,349.08,83.24,323.85,330.475,45.58,43.55,42.61,56.46,57.85,52.55,8.25,13.36,15.2,22.2,2.745,5.295,4.035,10.3,1.54,5.69,13.7,1.605,3.78,12.5,1.685
18,HPIV3/EboGP,Yes,28,5,0,9.356,39.88889,37.83333,38.5,38.11111,38.05556,39.88889,38.33333,37.83333,38.33333,38.11111,84.38,100,100,100,97.65625,98.04688,92.1875,88.67188,87.10938,84.37502,31,192,31,40,33,192,93,65,53,37,46,86,46,60,56,86,83,59,68,61,1.2,2.4,2.3,2.4,1.9,1.2,1.2,1.3,1.8,2.1,102,799,102,103,301,450,746,799,468,278,0.7,0.9,0.8,0.9,0.9,0.7,0.8,0.7,0.7,0.9,9,18,18,17,10,17,17,10,9,9,2.813331,7.783882,1.450791,7.167986,0,10.67614,2.692681,4.431828,1.34572,5.324154,76.81381,18.60273,17.11973,80.10456,0,0.503235,6.066464,0.789482,0.4014,2.9767,0.3174,2.6205,0.6805,3.1779,0.2971,1.0084,26.85315,72.10332,31.00282,72.99749,41.28312,65.47667,25.20127,33.63476,6.534931,51.83631,11.43338,44.85821,37.26564,33.73691,6.255011,-1.73812,-5.18812,-6.32063,5.094522,3.764052,6.627089,5.961854,-0.79997,3.696686,22.89487,63.11351,12.55605,6.500487,7.747882,5.640474,21.86515,40.09922,41.87146,87.7199,-2.42596,18.58806,39.55915,75.8803,30.1543,65.54958,-11.6385,1.730703,0.673174,50.476,-10.2659,4.938516,10.70347,47.78858,39.55915,74.1496,10.93907,45.53748,77.10513,36.88649,95.05,156,1326.5,1990.5,6975,8037.5,18.79,53.235,254.635,54.135,295.43,316.285,21.79,26.68,21.33,45.71,56.02,45.56,5.805,12.145,15.7,19.35,1.575,5.695,5.585,14.35,2.865,5.215,15.35,1.615,2.895,13.4,1.895
19,HPIV3/EboGP,Yes,28,5,0,9207.495,39.61112,36.55556,38,38.55556,39.61112,36.77778,37.27778,36.55556,37.66667,36.61111,87.73,102.7,100,99.09091,102.7273,96.81819,92.72726,90,87.72727,89.0909,25,839,40,27,42,839,273,62,30,25,31,266,56,31,54,266,263,147,55,46,1.7,3.4,3.4,3.3,2.4,1.8,1.7,1.8,2.4,2.7,199,1790,199,223,262,1012,1790,1301,716,429,0.4,1,0.7,0.9,0.9,1,0.8,0.4,0.5,0.7,10,38,15,13,13,38,25,14,10,11,4.858939,6.222592,6.430464,8.233619,7.652737,10.06433,5.895954,2.874964,6.215131,2.978716,17.71245,35.09863,41.52691,61.42257,33.2602,1.174843,7.500438,2.303956,2.1356,1.733,2.5827,1.4771,3.9722,2.8193,2.0871,1.3663,72.41259,57.98278,80.55556,73.38352,71.98977,63.61055,41.47353,43.34578,45.18438,51.33788,52.58512,42.19421,53.09339,35.41706,14.37544,8.275242,1.085991,1.122784,8.365019,11.40684,10.64639,1.520913,6.844106,0.668181,64.47368,66.86671,11.84679,20.90594,15.1386,15.15291,39.873,48.94726,69.81454,75.86487,20.44372,18.36707,56.25346,62.02249,39.1798,47.69269,14.61659,2.812755,52.12496,53.99253,2.635235,3.966918,47.19467,51.26253,41.63687,59.20974,49.48973,50.02561,35.52632,33.13329,1465.5,5511.5,7317.5,837.5,5711.5,8821,38.205,121.29,324.73,37.46,142.495,292.695,36.51,51.55,44.95,50.95,50.28,29.64,16.84,19.75,34.05,34.85,4.755,8.815001,4.025,12.11,1.205,6.29,16.7,1.995,5.09,12.6,3.275
20,HPIV3/EboGP,Yes,28,7,0,479.8393333,39.22222,35.22222,38.11111,38.66666,39.22222,37.27778,37.16667,35.22222,37.11112,NA,89.12,100,100,97.48953,99.58159,92.88703,93.72385,91.21339,89.12134,NA,19,238,19,31,43,238,86,85,35,NA,14,112,14,25,28,112,76,60,26,NA,1,2,1.7,1.6,1.1,1,1.1,1.4,2,NA,486,1047,486,589,748,1047,942,758,508,NA,0.5,1.1,0.9,1.1,1.1,0.8,0.8,0.5,0.7,NA,14,30,14,15,28,30,17,16,16,NA,7.81755,9.606573,6.85769,8.748341,6.901409,9.342268,3.748728,6.617558,1.851244,5.126895,48.18683,50.82049,31.39918,45.72077,11.84443,0.734821,8.569553,2.72392,1.9629,2.023,0.848,1.0438,2.2672,1.157,0.715,0.9123,72.23776,59.7786,68.87947,63.82938,60.11158,51.46045,39.717,35.50226,56.91614,51.07555,43.54771,38.67087,53.79668,24.70027,19.11409,0.674444,-2.66601,-4.07844,10.86329,4.477215,-1.87609,8.03277,11.58833,3.182231,27.21484,61.33465,9.587855,10.00494,8.329512,6.490361,38.63208,23.2899,61.48585,68.49013,-1.37972,10.00192,52.98165,56.56871,38.29834,43.26707,-3.68737,0,37.52448,45.20443,-0.47552,4.559904,40.68531,41.95988,52.98165,56.56871,38,40.64453,72.78516,38.66535,156,3400.5,8332,165.5,4583.5,9282,22.62,68.185,352.455,23.42,164.76,316.43,43.29,49.89,36.84,53.31,53.9,65.79,15.285,17.19,29.55,29.9,4.435,7.355,4.33,11.75,0.915,5.435,14.65,1.69,3.04,10.005,1.695
21,Control,No,7,13,6.556303,2155532.75,39.22222,32.44445,38.83334,38.83334,39.22222,NA,NA,NA,NA,NA,100,102.7,100,100.5435,100.5435,NA,NA,NA,NA,NA,32,3860,32,37,3860,NA,NA,NA,NA,NA,36,1284,36,43,1284,NA,NA,NA,NA,NA,1.8,3.3,3.3,3.1,2.3,NA,NA,NA,NA,NA,79,1269,79,89,892,NA,NA,NA,NA,NA,0.8,3.7,0.9,0.8,1.2,NA,NA,NA,NA,NA,16,163,17,16,58,NA,NA,NA,NA,NA,-0.243617,-0.305368,-1.8775739,-2.717619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1791,0.2181,0.1754,0.2178,0.1468,0.1613,0.2568,0.2529,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,112,96.75,77.9,94.6,94.9,14.755,22.24,206.095,9.924999,14.71,166.31,28.4,26.7,22.57,18.66,17.67,18.78,3.835,5.655,9.344999,9.92,1.97,2.16,3.67,10.35,1.165,4.42,10.115,1.58,3.445,12.45,1.445
22,Control,No,5,8,7.439333,65888.93,39.22222,36.88889,38,39.22222,36.88889,NA,NA,NA,NA,NA,96.71,100,100,99.1018,96.70659,NA,NA,NA,NA,NA,25,1749,25,47,1749,NA,NA,NA,NA,NA,28,510,28,33,510,NA,NA,NA,NA,NA,2.6,3.2,3.2,3.1,2.6,NA,NA,NA,NA,NA,124,884,124,144,884,NA,NA,NA,NA,NA,0.8,11.4,1,0.8,11.4,NA,NA,NA,NA,NA,14,112,15,14,112,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.1343,NA,0.1082,NA,0.0773,NA,0.1384,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,98.05,82.55,84.3,94.15,81.15,16.105,30.785,174.8,10.95,14.375,74.43,25.9,22.28,18.31,15.57,15.25,16.71,3.845,4.98,15.7,8.04,1.505,2.355,1.375,5.245,0.59,4.42,13.05,1.84,4.14,11.8,1.88
